title,courseOrSender,dueDate,description,link
"Group Problem Set 2","262-MGMTFT-403-LEC-3 Financial Accounting","2026-08-31T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/234429/assignments/2008351"
"Check-in 4","262-MGMTFT-403-LEC-3 Financial Accounting","2026-09-03T23:59:00","Quiz, 10 pts possible","https://bruinlearn.ucla.edu/courses/234429/assignments/2012317"
"Group problem set 3","262-MGMTFT-403-LEC-3 Financial Accounting","2026-09-10T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/234429/assignments/2008349"
"Final Exam","262-MGMTFT-403-LEC-3 Financial Accounting","2026-09-11T09:00:00","100 pts possible","https://bruinlearn.ucla.edu/courses/234429/assignments/2008350"
"Learning Team Peer Evaluation","262-MGMTFT-403-LEC-3 Financial Accounting","2026-09-18T23:55:00","3 pts possible","https://bruinlearn.ucla.edu/courses/234429/assignments/2008355"
"Individual Case Write-Up #2: Natureview","262-MGMTFT-411-01/02 Marketing Management","2026-09-03T09:00:00","5 pts possible","https://bruinlearn.ucla.edu/courses/234432/assignments/2005965"
"Major Group Project","262-MGMTFT-411-01/02 Marketing Management","2026-09-10T23:59:00","24 pts possible","https://bruinlearn.ucla.edu/courses/234432/assignments/2005966"
"Discussion Contributions","262/26F-MGMTFT-401A/B-03 Foundations of Inclusive Leadership","","Ongoing, 15 pts possible, no fixed due date","https://bruinlearn.ucla.edu/courses/234426/assignments/2006742"
"Build-A-Thon: Parker-Easton Project Submission Deadline","Summer Technology Immersion 2026","2026-08-31T08:00:00","100 pts possible","https://bruinlearn.ucla.edu/courses/240009/assignments/2005502"
"Participation","Summer Technology Immersion 2026","","Ongoing, 100 pts possible, no fixed due date","https://bruinlearn.ucla.edu/courses/240009/assignments/2005507"
"L@A Premier Track Premortem","Leadership@Anderson - Cohort 8","2026-10-11T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/233745/assignments/1982421"
"L@A Premier Track Orientation Course","Leadership@Anderson - Cohort 8","2026-11-30T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/233745/assignments/2003434"
"L@A Premier Track Participation Policy","Leadership@Anderson - Cohort 8","2026-11-30T23:59:00","Quiz, 100 pts possible","https://bruinlearn.ucla.edu/courses/233745/assignments/1975964"
"L@A Coaching Coach/Client Fit","Leadership@Anderson - Cohort 8","2026-11-30T23:59:00","Quiz, 100 pts possible","https://bruinlearn.ucla.edu/courses/233745/assignments/1975969"
"L@A Coaching Agreement","Leadership@Anderson - Cohort 8","2026-11-30T23:59:00","Quiz, 100 pts possible","https://bruinlearn.ucla.edu/courses/233745/assignments/1975971"
"TL-TR Progress Update #1 (2026-27 Fall)","Leadership@Anderson - Cohort 8","2026-12-13T23:59:00","Quiz, 100 pts possible","https://bruinlearn.ucla.edu/courses/233745/assignments/2013918"
"Problem Set 1","26F-MGMTFT-405-01/02/03/04 Managerial Economics","2026-09-25T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/237882/assignments/2000674"
"Problem Set 2","26F-MGMTFT-405-01/02/03/04 Managerial Economics","2026-10-09T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/237882/assignments/2000675"
"Problem Set 3","26F-MGMTFT-405-01/02/03/04 Managerial Economics","2026-11-06T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/237882/assignments/2000676"
"Problem Set 4","26F-MGMTFT-405-01/02/03/04 Managerial Economics","2026-11-20T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/237882/assignments/2000677"
"Problem Set 5","26F-MGMTFT-405-01/02/03/04 Managerial Economics","2026-12-04T23:59:00","100 pts possible","https://bruinlearn.ucla.edu/courses/237882/assignments/2000678"
"Assessment: Midterm","26F-MGMTFT-405-01/02/03/04 Managerial Economics","","100 pts possible, date TBD","https://bruinlearn.ucla.edu/courses/237882/assignments/2000671"
"Assessment: Final Exam","26F-MGMTFT-405-01/02/03/04 Managerial Economics","","100 pts possible, date TBD","https://bruinlearn.ucla.edu/courses/237882/assignments/2000670"
