title,source,courseOrSender,dueDate,description,link
"ACT Team Selection Survey","email","Parker Career Management Center","2026-09-02T23:59:00","Submit your ACT team selection before the deadline.",""
"Submit Onboarding Feedback Survey","email","MBA Student Affairs","2026-09-07T23:59:00","Anonymous feedback survey on the first two weeks of Onboarding; entries submitted by the deadline are eligible for an Anderson-branded MiiR tumbler raffle.",""
"PIER Session 2","email","Ercole, Chrissy (PIER)","2026-08-31T15:30:00","Review the Session 1 slide deck beforehand.",""
"Welcome to Tech @ Anderson reception","email","Easton Technology Management Center","2026-08-28T17:00:00","Welcome reception for FTMBA/EMBA/FEMBA classes, Crown Auditorium.",""
"Pick up name tag/name tent","email","MBA Student Affairs","","Ready for pickup at the Student Business Center (D-212).",""
"Schedule ITIN/W-7 Zoom appointment","email","Clark, Jerrod (International Students Office)","","Reply with availability for a Zoom appointment: Wed 9/2 8-10am, Thu 9/3 8-9am, or Fri 9/4 8-10am. Complete your GLACIER record and send required documents at least 24 hours before the chosen slot.",""
"Pick up Anderson sweatshirt","email","MBA Student Affairs","","If missed at distribution, pick up at Student Affairs (G307), Mon-Fri 8am-5pm.",""
"Apply for AVIP Impact Investing Program","email","UCLA Anderson Center for Impact","2026-09-04T23:59:00","Optional student-led impact investing fund; eligible as a first-year FTMBA student. Application deadline 9/4 at 11:59pm.",""
"Pay Fall tuition & fee assessment","email","MBA Student Affairs / Bruin Bill","2026-09-11T23:59:00","Review your Fall fee assessment on Bruin Bill and submit payment. Missing the deadline drops your courses and places a hold on your account.",""
"Sign up for a waiver exam (optional)","email","MBA Student Affairs","2026-09-01T17:00:00","If you want to waive MGMTFT 405 Managerial Economics (Tue 9/1, 5-6:30pm, D301) or MGMTFT 416 Global Economics (Fri 9/4, 4:30-6pm, B313), register via the sign-up link. Optional.",""
"Book coffee chat with Prof. Hershfield","email","Hal Hershfield (MGMTFT-411 Marketing Management)","","Optional office-hours coffee chat sign-up via Calendly.",""
"Resolve Check-in 2 access issue","email","Kurokawa, Nathaniel (TA, MGMTFT 403 Financial Accounting)","","The TA reopened Check-in 2 after you missed it, but your follow-up asking for the Zoom passcode looks unanswered — confirm whether you actually completed it.",""
"Upload resume v1 to Parker2028 folder","email","Parker Career Management Center","2026-08-17T09:00:00","Anderson-format resume, uploaded to your Parker2028 folder in the Parker Portal. You flagged this email yourself — worth double-checking it's actually done.",""
"Complete Advize Assignment","email","Parker Career Management Center","2026-08-17T23:59:00","Watch at least 3 Advizers (30+ minutes total) and answer the 4 questions on Advize. Was due the week of Aug 17.",""
"Complete Stage 1 on Launchpad","email","Parker Career Management Center","2026-08-10T09:00:00","Upload your completed brief (or the Career Destination tab of the PCS Worksheet) to your Parker2028 folder — due before your PCS session, Mon 8/10 (Sections A/B) or Wed 8/12 (Sections C/D).",""
